gene	symbol	fm-bias	found	studied	upreg	downreg	gain	loss
ENSG00000086758	HUWE1	0.0170693667361087	null	null	0.995341350362	0.999999999983464	0.999999999997762	0.00507485583183342
ENSG00000099139	PCSK5	0.83897359908427	null	null	5.63757185645386E-6	0.999999886308631	0.99944423386207	0.581414017591169
ENSG00000101333	PLCB4	0.00361037665789623	null	null	0.987596491157428	0.107510727442593	5.14423912656325E-4	1.0
ENSG00000103126	AXIN1	0.0485138487442717	1	1	0.999969278416648	1.0	1.0	0.214289440795418
ENSG00000105726	ATP13A1	0.123634973846583	null	null	0.999999898130424	0.999999999941517	0.602962655880664	1.0
ENSG00000105851	PIK3CG	0.205475518713259	null	null	0.999999999999544	0.999999999999977	3.28689598326104E-4	0.999999995127002
ENSG00000116044	NFE2L2	0.325735945765619	null	null	0.709128116911466	0.999986124659566	0.926450368220802	1.0
ENSG00000122778	KIAA1549	0.464108739643906	null	null	null	null	3.08215721897431E-4	0.999999869081971
ENSG00000125879	OTOR	0.0181203588854544	null	null	0.999998787953841	0.999998882533482	0.416571130343996	0.999999999999836
ENSG00000130158	DOCK6	0.545010722509691	null	null	1.0	0.99970842472282	0.999999999999485	1.0
ENSG00000138688	KIAA1109	0.205184518599114	null	null	0.999999999429588	1.0	1.0	0.0
ENSG00000154654	NCAM2	0.285247140684497	null	null	0.298846812519312	1.0	0.999999999999987	0.999999999994018
ENSG00000155561	NUP205	0.18105770812998	null	null	0.909700843874552	0.999999999996209	1.0	0.528813541098576
ENSG00000163554	SPTA1	0.0634246676597404	null	null	1.0	0.999583115323346	0.98133221413461	0.999999933177372
ENSG00000163638	ADAMTS9	0.202685717607494	null	null	1.0	1.0	1.0	0.0
ENSG00000164796	CSMD3	0.22066192429435	null	null	0.999999979949756	0.997910632711824	3.42281758491936E-13	0.999999999992389
ENSG00000165323	FAT3	0.256057534648749	null	null	0.999989124060714	0.077061046869911	0.999999995474507	0.0990940271706728
ENSG00000166603	MC4R	0.964956423154235	null	null	1.0	1.0	0.0366142737191235	1.0
ENSG00000168036	CTNNB1	8.737237923562E-5	787	3637	0.99999445379876	1.0	0.999999579608166	0.999999992044829
ENSG00000174840	PDE12	0.767034636841504	null	null	0.999438364609566	0.999709103170551	0.999997035062244	0.0328481998718829
ENSG00000175471	MCTP1	0.960019426348148	null	null	0.0947667900184603	0.999999999999998	0.9687968740319	0.97715281670807
ENSG00000177189	RPS6KA3	3.20033032301517E-4	null	null	0.999999976749992	0.539821643459489	0.602962655880664	1.0
ENSG00000187372	PCDHB13	0.0552535776274536	null	null	0.999999999992111	0.542840151672728	6.42667297817257E-4	0.999999973975693
ENSG00000197299	BLM	0.382898947251706	null	null	1.0	1.0	0.999990911826102	0.999999999998488
ENSG00000197991	PCDH20	0.998095601279779	null	null	0.999997242676876	0.877442790707239	0.999999999903852	0.999999988081879
ENSG00000198626	RYR2	0.999196800540058	null	null	0.99388494008663	0.999996004237683	0.0117196115478304	0.999999902620157
ENSG00000006740	ARHGAP44	0.071888317303649	2	22	0.999999999989065	0.0202330006087839	0.999999901891526	3.28681251532403E-5
